expression,reading,meaning,tags,guid,ความหมาย
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~",JLPT JLPT_2,Ja%uZn!l8Y,"ทั้งหมด ~, ของทั้งหมด ~, ทั้งสิ้น, ทั้งปวง"
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella),JLPT JLPT_2 MediaMissing,g~n;/-.8!D,"เปิด; ถือ (ร่ม), กาง (ร่ม), ยก (ร่ม), ค้ำ (ร่ม)"
〜(日本) 式,～(にほん) しき,"custom,",JLPT JLPT_2 MediaMissing,no!e4=rwH(,"กำหนดเอง, แบบเฉพาะ, เฉพาะตัว, ปรับแต่ง"
～位,～い,~th place,JLPT JLPT_2,G*#PQ&xZe;,"อันดับที่ ~, ตำแหน่งที่ ~, ลำดับที่ ~, ที่ ~"
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),JLPT JLPT_2,GmGAkPKtVr,"หมายเลข 1 ~ (ใน), อันดับหนึ่ง ~, ที่หนึ่ง ~, ยอดเยี่ยม ~"
～園,～えん,~ garden (especially man made),JLPT JLPT_2,z)[Ulzmb?X,"~ สวน (โดยเฉพาะสวนที่มนุษย์สร้างขึ้น), ~ อุทยาน, ~ พฤกษชาติ, ~ สถานที่เพาะเลี้ยง"
～おしまい (おわり),～おしまい (おわり),end up ~,JLPT JLPT_2,B07i&;klYX,"สุดท้ายแล้ว ~, จบลงที่ ~, ลงเอยที่ ~, สิ้นสุดที่ ~"
～日,～か,counter for days,JLPT JLPT_2,rDuT4FxT)r,"นับวัน, จำนวนวัน, วันที่, วัน"
～下,～か,under ~,JLPT JLPT_2,fbg-jA#f{K,"ภายใต้ ~, ใต้ ~, ใต้บังคับบัญชา ~, โดย ~"
～化,～か,action of making something,JLPT JLPT_2,jA{o6okAW~,"การกระทำของการสร้างบางสิ่งบางอย่าง, การทำให้เป็น ~, การเปลี่ยนเป็น ~, การสร้าง ~"
～科,～か,"family, group, course",JLPT JLPT_2,G*u5fLwYB~,"ครอบครัว กลุ่ม หลักสูตร, ตระกูล, หมวด, สาขา"
